ID,Name,Email,Role
O001,Organizer_1,usero1@university.edu,President
O002,Organizer_2,usero2@university.edu,Vice President
O003,Organizer_3,usero3@university.edu,Vice President
O004,Organizer_4,usero4@university.edu,Secretary
O005,Organizer_5,usero5@university.edu,Secretary
O006,Organizer_6,usero6@university.edu,Event Coordinator
O007,Organizer_7,usero7@university.edu,Treasurer
O008,Organizer_8,usero8@university.edu,Treasurer
O009,Organizer_9,usero9@university.edu,Coordinator
O010,Organizer_10,usero10@university.edu,Coordinator
